remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.690441, time_gap_set = 300, time_left = 0.000000, ontime = 373 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 374 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.690441, time_gap_set = 300, time_left = 0.000000, ontime = 375 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.690441, time_gap_set = 300, time_left = 0.000000, ontime = 376 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.514999, time_gap_set = 300, time_left = 0.000000, ontime = 377 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.383415, time_gap_set = 300, time_left = 0.000000, ontime = 378 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.690441, time_gap_set = 300, time_left = 0.000000, ontime = 379 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.558857, time_gap_set = 300, time_left = 0.000000, ontime = 380 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.514999, time_gap_set = 300, time_left = 0.000000, ontime = 383 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 384 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.514999, time_gap_set = 300, time_left = 0.000000, ontime = 385 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.558857, time_gap_set = 300, time_left = 0.000000, ontime = 386 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 387 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 388 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.909744, time_gap_set = 300, time_left = 0.000000, ontime = 389 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 390 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.383415, time_gap_set = 300, time_left = 0.000000, ontime = 391 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.602718, time_gap_set = 300, time_left = 0.000000, ontime = 392 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.690441, time_gap_set = 300, time_left = 0.000000, ontime = 393 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 394 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.471138, time_gap_set = 300, time_left = 0.000000, ontime = 395 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.646580, time_gap_set = 300, time_left = 0.000000, ontime = 396 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.471138, time_gap_set = 300, time_left = 0.000000, ontime = 397 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.514999, time_gap_set = 300, time_left = 0.000000, ontime = 398 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 399 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 400 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.558857, time_gap_set = 300, time_left = 0.000000, ontime = 401 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 402 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 403 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 404 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 405 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 406 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.514999, time_gap_set = 300, time_left = 0.000000, ontime = 407 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.646580, time_gap_set = 300, time_left = 0.000000, ontime = 408 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 409 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.514999, time_gap_set = 300, time_left = 0.000000, ontime = 410 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 411 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 412 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 413 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 414 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 415 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.909744, time_gap_set = 300, time_left = 0.000000, ontime = 416 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 417 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 418 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 419 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 420 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.471138, time_gap_set = 300, time_left = 0.000000, ontime = 421 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.558857, time_gap_set = 300, time_left = 0.000000, ontime = 422 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.690441, time_gap_set = 300, time_left = 0.000000, ontime = 426 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.514999, time_gap_set = 300, time_left = 0.000000, ontime = 427 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 428 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 429 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.471138, time_gap_set = 300, time_left = 0.000000, ontime = 430 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.909744, time_gap_set = 300, time_left = 0.000000, ontime = 431 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 432 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.339554, time_gap_set = 300, time_left = 0.000000, ontime = 433 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.514999, time_gap_set = 300, time_left = 0.000000, ontime = 436 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 437 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.646580, time_gap_set = 300, time_left = 0.000000, ontime = 438 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 439 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 440 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 441 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.471138, time_gap_set = 300, time_left = 0.000000, ontime = 442 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.909744, time_gap_set = 300, time_left = 0.000000, ontime = 443 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.690441, time_gap_set = 300, time_left = 0.000000, ontime = 444 
